title,coding,industry,market_value,returns_ratio
ピー・シー・エー(株),9629,情報・通信,"38,577",0.68
ＪＦＥシステムズ(株),4832,情報・通信,"31,098",---
那須電機鉄工(株),5922,金属製品,"7,140",1.68
オルガノ(株),6368,機械,"63,513",1.90
レーザーテック(株),6920,電気機器,"804,263",0.57
(株)アダストリア,2685,小売業,"80,715",2.42
豊商事(株),8747,証券業,"6,833",---
レンゴー(株),3941,パルプ・紙,"217,116",3.00
ネットワンシステムズ(株),7518,情報・通信,"363,780",1.13
(株)メンバーズ,2130,サービス業,"21,391",1.00
日本ＫＦＣホールディングス(株),9873,小売業,"63,863",1.76
(株)フルキャストホールディングス,4848,サービス業,"60,809",2.59
(株)トーエネック,1946,建設業,"68,042",2.84
(株)アイ・アールジャパンホールディングス,6035,サービス業,"231,898",0.54
共英製鋼(株),5440,鉄鋼,"58,144",3.09
(株)アイネス,9742,情報・通信,"33,723",2.83
(株)プレサンスコーポレーション,3254,不動産業,"89,642",---
日立造船(株),7004,機械,"69,277",2.95
(株)ネクステージ,3186,小売業,"79,337",0.57
ＧＭＯペイメントゲートウェイ(株),3769,情報・通信,"890,869",0.35
アンリツ(株),6754,電気機器,"330,068",1.30
(株)ティーケーピー,3479,不動産業,"106,172",0.00
クミアイ化学工業(株),4996,化学,"144,905",1.01
(株)ゴールドウイン,8111,繊維製品,"366,891",0.78
日本ドライケミカル(株),1909,機械,"10,837",1.99
タマホーム(株),1419,建設業,"37,203",4.75
東亜建設工業(株),1885,建設業,"35,362",3.18
(株)エスケーエレクトロニクス,6677,電気機器,"10,982",---
合同製鐵(株),5410,鉄鋼,"33,022",4.15
ＪＢＣＣホールディングス(株),9889,情報・通信,"30,446",2.45
(株)ＪＭＤＣ,4483,情報・通信,"222,606",0.00
(株)タカミヤ,2445,サービス業,"24,732",2.64
ダイワボウホールディングス(株),3107,卸売業,"121,602",---
(株)ベネッセホールディングス,9783,サービス業,"271,427",1.89
中外製薬(株),4519,医薬品,"8,266,001",1.02
(株)十六銀行,8356,銀行業,"74,900",3.54
(株)北洋銀行,8524,銀行業,"90,188",4.42
